Timestamp, Message
2023/08/09 13:24:34,Saved data to local directory: C:/Users/joshu/Documents/GitHub/usga-locker-capstones/Builds/usga-locker-capstones-20230809/usga-locker-capstones_Data\..\data.json
2023/08/09 13:24:34,Application Awake - version #1.0
2023/08/09 13:24:34,Primary Display    App (screen dims): 1920 x 1080 (1.777778)   "Current Resolution": 1920 x 1080   Rendering Res: 1920 x 1080   System Res: 1920 x 1080
2023/08/09 13:24:56,Quit application via 'Escape' key.
2023/08/09 13:24:56,Application Quit
2023/08/09 13:25:31,Saved data to local directory: C:/Users/joshu/Documents/GitHub/usga-locker-capstones/Builds/usga-locker-capstones-20230809/usga-locker-capstones_Data\..\data.json
2023/08/09 13:25:31,Application Awake - version #1.0
2023/08/09 13:25:31,Primary Display    App (screen dims): 1920 x 1080 (1.777778)   "Current Resolution": 1920 x 1080   Rendering Res: 1920 x 1080   System Res: 1920 x 1080
2023/08/09 13:26:03,Quit application via 'Escape' key.
2023/08/09 13:26:03,Application Quit
2023/08/09 13:27:59,Application Awake - version #1.0
2023/08/09 13:27:59,Primary Display    App (screen dims): 1920 x 1080 (1.777778)   "Current Resolution": 1920 x 1080   Rendering Res: 1920 x 1080   System Res: 1920 x 1080
2023/08/09 13:27:59,Saved data to local directory: C:/Users/joshu/Documents/GitHub/usga-locker-capstones/Builds/usga-locker-capstones-20230809/usga-locker-capstones_Data\..\data.json
2023/08/09 13:28:08,Quit application via 'Escape' key.
2023/08/09 13:28:08,Application Quit
2023/08/09 13:31:50,Saved data to local directory: C:/Users/joshu/Documents/GitHub/usga-locker-capstones/Builds/usga-locker-capstones-20230809/usga-locker-capstones_Data\..\data.json
2023/08/09 13:31:50,Application Awake - version #1.0
2023/08/09 13:31:50,Primary Display    App (screen dims): 1920 x 1080 (1.777778)   "Current Resolution": 1920 x 1080   Rendering Res: 1920 x 1080   System Res: 1920 x 1080
2023/08/09 13:32:00,Quit application via 'Escape' key.
2023/08/09 13:32:00,Application Quit
2023/08/09 13:34:38,Saved data to local directory: C:/Users/joshu/Documents/GitHub/usga-locker-capstones/Builds/usga-locker-capstones-20230809/usga-locker-capstones_Data\..\data.json
2023/08/09 13:34:38,Application Awake - version #1.0
2023/08/09 13:34:38,Primary Display    App (screen dims): 1920 x 1080 (1.777778)   "Current Resolution": 1920 x 1080   Rendering Res: 1920 x 1080   System Res: 1920 x 1080
2023/08/09 13:34:41,Quit application via 'Escape' key.
2023/08/09 13:34:41,Application Quit
